Symbol	Name
AR	AFLORAMENTO ROCHOSO
A	ALUVIAL
Aa	ALUVIAL Álico
Ad	ALUVIAL Distrófico
Ae	ALUVIAL Eutrófico
AQ	AREIA QUARTZOSA
Aqa	AREIA QUARTZOSA Álica
Aqd	AREIA QUARTZOSA Distrófica
HAQ	AREIA QUARTZOSA HIDROMÓRFICA
HAQa	AREIA QUARTZOSA HIDROMÓRFICA Álica
HAQd	AREIA QUARTZOSA HIDROMÓRFICA Distrófica
HAQHa	AREIA QUARTZOSA HIDROMÓRFICA HÚMICA Álica
AM	AREIA QUARTZOSA MARINHA
Amd	AREIA QUARTZOSA MARINHA Distrófica
BA	BRUNIZEM AVERMELHADO
BV	BRUNIZEM AVERMELHADO
BT	BRUNIZEM VÉRTICO
NC	BRUNO NÃO CALCICO
NCPL	BRUNO NÃO CÁLCICO PLANOSSÓLICO
C	CAMBISSOLO
Ca	CAMBISSOLO Álico
Cd	CAMBISSOLO Distrófico
Ce	CAMBISSOLO Eutrófico
Cf	CAMBISSOLO substrato rochas ferríferas
CBHa	CAMBISSOLO BRUNO HÚMICO Álico
Cha	CAMBISSOLO HÚMICO Álico
Cta	CAMBISSOLO Tropical Álico
Cte	CAMBISSOLO Tropical Eutrófico
Sca	CONCRECIONÁRIO Álico
SCd	CONCRECIONÁRIO Distrófico
Sce	CONCRECIONÁRIO Eutrófico
CL	CONCRECIONÁRIO LATERÍTICO
Cld	CONCRECIONÁRIO LATERÍTICO INDISCRIMINADO Distrófico
D	DEPÓSITO ARENO-FLUVIAL
DN	DUNA
GH	GLEY HÚMICO
HG	GLEY
HGHa	GLEY HÚMICO Álico
HGHd	GLEY HÚMICO distrófico
HGHe	GLEY HÚMICO eutrófico
HGHVe	GLEY HÚMICO eutrófico vértico
HGHS	GLEY HÚMICO SOLÓDICO
GPH	GLEY POUCO HÚMICO
HGP	GLEY POUCO HÚMICO
HGPa	GLEY POUCO HÚMICO Álico
HGPd	GLEY POUCO HÚMICO Distrófico
HGPad	GLEY POUCO HÚMICO Álico e Distrófico
HGPe	GLEY POUCO HÚMICO Eutrófico
HGPS	GLEY POUCO HÚMICO SÓDICO
Hged	HIDROMÓRFICO Eutrófico e Distrófico
HC	HIDROMÓRFICO CINZENTO
Hca	HIDROMÓRFICO CINZENTO Álico
Hce	HIDROMÓRFICO CINZENTO Eutrófico
HG	HIDROMÓRFICO GLEYZADO
Hga	HIDROMÓRFICO GLEYZADO Álico
HGd	HIDROMÓRFICO GLEYZADO Distrófico
Hge	HIDROMÓRFICO GLEYZADO Eutrófico
HG	HIDROMÓRFICO INDISCRIMINADO
HI	HIDROMÓRFICO INDISCRIMINADO
SM	INDISCRIMINADO DE MANGUE
BL	LATERÍTICO BRUNO AVERMELHADO
LA	LATOSSOLO AMARELO
Laa	LATOSSOLO AMARELO Álico
Laad	LATOSSOLO AMARELO Álico e Distrófico
Lad	LATOSSOLO AMARELO Distrófico
Lae	LATOSSOLO AMARELO Eutrófico
LAHa	LATOSSOLO AMARELO HÚMICO Álico
LB	LATOSSOLO BRUNO
LBCa	LATOSSOLO BRUNO CÂMBICO Álico
LBRa	LATOSSOLO BRUNO intermediário para LATOSSOLO ROXO
LFH	LATOSSOLO FÉRRICO HÚMICO
LU	LATOSSOLO VARIAÇÃO UNA Álico
LV	LATOSSOLO VERMELHO AMARELO
LVHa	LATOSSOLO VERMELHO AMARELO HÚMICO Álico
LVHd	LATOSSOLO VERMELHO AMARELO HÚMICO Distrófico
LVPa	LATOSSOLO VERMELHO AMARELO PODZÓLICO Álico
LVPe	LATOSSOLO VERMELHO AMARELO PODZÓLICO Eutrófico
Lva	LATOSSOLO VERMELHO AMARELO Álico
