country_id	system_source	year_source	taxon_source_1990	level_source	code_source	system_destination	year_destination	taxon_destination_BR2006	level_destination	code_destination	comment	reference	expert
BR	Braziliam System of Soil Classification	1990	Rubrozem	1	unknown	Braziliam System of Soil Classification	2006	Argissolo	1	P	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Bruno-Acinzentado Distrófico	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Bruno-Acinzentado	2	PBAC	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Bruno-Acinzentado Álico	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Bruno-Acinzentado	2	PBAC	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Amarelo Álico Ta	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho-Amarelo Ta Distrófico	3	PVAvd	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Amarelo Eutrófico Tb	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho-Amarelo Eutrófico	3	PVAe	Argissolo, Nitossolo. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Amarelo Distrófico Tb	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho-Amarelo Distrófico	3	PVAd	Argissolo, Nitossolo. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Escuro Eutrófico Tb	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho Eutrófico	3	PVe	Argissolo, Nitossolo. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Escuro Distrófico Tb	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho Distrófico	3	PVd	Argissolo, Nitossolo. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Amarelo	2	unknown	Braziliam System of Soil Classification	2006	Argissolo	1	PA	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Amarelo Distrófico	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho-Amarelo Distrófico	3	PVAd	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzólico Vermelho-Amarelo Álico Tb	3	unknown	Braziliam System of Soil Classification	2006	Argissolo Vermelho-Amarelo Alítico	3	PVAal	Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Cambissolo	1	unknown	Braziliam System of Soil Classification	2006	Cambisolo	1	C	Except when there is a "chernozêmico" A horizon or a "eutrófico" B horizon with high clay activity. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Brunizem	1	unknown	Braziliam System of Soil Classification	2006	Chernossolo	1	M	 		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Rendzina	1	unknown	Braziliam System of Soil Classification	2006	Chernossolo	1	M	 		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Brunizem Avermelhado	2	unknown	Braziliam System of Soil Classification	2006	Chernossolo	1	M	 		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Brunizem Hidromórfico	2	unknown	Braziliam System of Soil Classification	2006	Chernossolo	1	M	 		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzol	1	unknown	Braziliam System of Soil Classification	2006	Espodossolo	1	E	 		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Podzol Hidromórfico	2	unknown	Braziliam System of Soil Classification	2006	Espodossolo	1	E			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Glei Pouco Húmico	2	unknown	Braziliam System of Soil Classification	2006	Gleissolo	1	G			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Glei Húmico	2	unknown	Braziliam System of Soil Classification	2006	Gleissolo	1	G			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Hidromórfico Cinzento	2	unknown	Braziliam System of Soil Classification	2006	Gleissolo	1	G	Except when there is an abrupt textural change (Planossolo). Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Glei Tiomórfico	2	unknown	Braziliam System of Soil Classification	2006	Gleissolo	1	G			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Solonchak	1	unknown	Braziliam System of Soil Classification	2006	Gleissolo Sálico	2	GZ			Alessandro Samuel Rosa
BR	Braziliam System of Soil Classification	1990	Latossolo	1	unknown	Braziliam System of Soil Classification	2006	Latossolo	1	L	Except Latossolo Laterítico. Accurate correlation cannot be acchieved using only first level classification.		Alessandro Samuel Rosa
