"country_id"	"system_source"	"year_source"	"taxon_source"	"level_source"	"code_source"	"system_destination"	"year_destination"	"taxon_destination"	"level_destination"	"code_destination"	"comment"	"expert"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo"	1	"R"	"FAO/UNESCO"	1974	"unkown"	1	"unkown"	"Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Quartzarênico"	2	"RQ"	"FAO/UNESCO"	1974	"Arenosol"	1	"AR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Regolítico"	2	"RR"	"FAO/UNESCO"	1974	"Regosol"	1	"RG"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Litólico"	2	"RL"	"FAO/UNESCO"	1974	"Leptosol"	1	"LP"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Neossolo Flúvico"	2	"RY"	"FAO/UNESCO"	1974	"Fluvisol"	1	"FL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Vertissolo"	1	"V"	"FAO/UNESCO"	1974	"Vertisol"	1	"VR"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Cambissolo"	1	"C"	"FAO/UNESCO"	1974	"Cambisol"	1	"CM"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Chernossolo"	1	"M"	"FAO/UNESCO"	1974	"Phaeozem"	1	"PH"	"Chernozem, Kastanozem, Phaeozem, Greyzem.  Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Luvissolo"	1	"T"	"FAO/UNESCO"	1974	"Luvisol"	1	"LV"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo"	1	"P"	"FAO/UNESCO"	1974	"unkown"	1	"unkown"	"Alisol, Acrisol, Lixisol. Accurate correlation cannot be acchieved using only first level classification."	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Bruno-Acinzentado"	2	"PBAC"	"FAO/UNESCO"	1974	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Amarelo Alumínico"	3	"PAa"	"FAO/UNESCO"	1974	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Vermelho Alumínico"	3	"PVa"	"FAO/UNESCO"	1974	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Vermelho-Amarelo Alumínico"	3	"PVAa"	"FAO/UNESCO"	1974	"Alisol"	1	"AL"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Acinzentado Distrocoeso"	3	"PACdx"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Acinzentado Distrófico"	3	"PACd"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Amarelo Alítico"	3	"PAal"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Amarelo Distrocoeso"	3	"PAdx"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Amarelo Distrófico"	3	"PAd"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Vermelho Alítico"	3	"PVal"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Vermelho Ta Distrófico"	3	"PVvd"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
"BR"	"Braziliam System of Soil Classification"	2006	"Argissolo Vermelho Distrófico"	3	"PVd"	"FAO/UNESCO"	1974	"Acrisol"	1	"AC"	""	"Alessandro Samuel Rosa"
